,AFP,Angiopoietin-2,AXL,CA-125,CA 15-3,CA19-9,CD44,CEA,CYFRA 21-1,DKK1,Endoglin,FGF2,Follistatin,Galectin-3,G-CSF,GDF15,HE4,HGF,IL-6,IL-8,Kallikrein-6,Leptin,Mesothelin,Midkine,Myeloperoxidase,NSE,OPG,OPN,PAR,Prolactin,sEGFR,sFas,SHBG,sHER2/sEGFR2/sErbB2,sPECAM-1,TGFa,Thrombospondin-2,TIMP-1,TIMP-2
OPG,0.008138257,0.176350251,0.201487377,0.075342877,0.214325923,-0.001423886,0.254000012,0.048384972,0.083963899,-0.058335143,0.091972741,-0.156420888,0.184670185,-0.048607155,-0.00455719,0.275024233,-0.016442952,-0.152200497,0.172129054,-0.036524771,0.251927426,-0.006790881,0.345843199,-0.018035852,-0.235790271,-0.215550059,1,0.031285998,0.028167059,-0.052599573,0.159240041,-0.018726278,0.097829025,0.277652694,0.107572769,0.01496744,0.202731519,0.041563214,0.14196128
OPN,0.029387169,0.128053586,0.148171637,0.222151051,0.126039147,0.258335791,0.080970144,0.143194693,0.264788844,0.111346612,0.035491552,0.116817976,0.14250979,0.302812466,0.105476448,0.211859304,0.025071509,0.341907099,0.114200445,0.258415964,-0.171586315,0.015448159,0.011458247,0.133098398,0.27532471,0.064108942,0.031285998,1,0.067556285,-0.016571194,-0.048905559,0.130638124,0.082019564,0.176445443,0.003539685,-0.033031036,0.123072904,0.09367373,-0.182433909
PAR,0.026472348,0.219625073,0.468324862,0.077201295,0.008293136,0.150871759,0.279810804,0.166046569,0.039274765,0.071088973,0.052702529,-0.261305586,0.073941931,0.125543654,0.012340539,0.288173169,0.134552775,0.088395676,-0.010258551,0.075296822,-0.205677226,-0.051739042,0.17824283,0.301087751,0.096281137,-0.070745972,0.028167059,0.067556285,1,-0.094795757,0.302535502,-0.010307191,0.322713562,0.220793243,0.070929743,-0.029747003,0.149723795,0.413094869,0.295532778
Prolactin,0.14569343,-0.079422801,-0.063693771,0.00475607,0.150613108,0.059227706,0.102092814,0.047476233,0.044421584,0.026292922,0.005381026,0.203335267,0.020685112,0.021349183,-0.12283172,-0.176671626,0.157280432,0.016754459,0.184014621,0.057145609,0.089957775,0.068196836,-0.075290543,0.0414046,0.022329944,-0.047631577,-0.052599573,-0.016571194,-0.094795757,1,-0.052727499,-0.085263471,-0.05025315,-0.056754195,0.046093675,0.112235076,-0.011904561,-0.212630703,-0.14356497
sEGFR,0.125487363,0.379512835,0.320449638,0.004181052,0.120063468,-0.089289195,0.385201217,0.023575616,-0.059977901,-0.055173607,0.162128047,-0.36950491,0.126365165,-0.106295045,0.066746211,0.137493374,0.153101126,-0.151923976,0.14008637,-0.117655147,0.059798457,0.081092173,0.29140315,0.046935636,-0.265307029,-0.208905627,0.159240041,-0.048905559,0.302535502,-0.052727499,1,-0.177537378,0.107911616,0.291575348,0.144316207,0.018303659,0.079782303,-0.024120465,0.212390824
sFas,-0.007890642,-0.001035808,-0.082027742,0.124349427,-0.001557058,0.235350376,-0.264895804,0.114784341,0.104350905,0.15764896,-0.077987888,0.256140556,0.066559385,0.250981663,0.161727932,0.012177939,-0.157584367,0.273619433,-0.309018426,0.157391051,-0.043496219,0.127487406,-0.133923086,0.132173085,0.223874499,0.2106788,-0.018726278,0.130638124,-0.010307191,-0.085263471,-0.177537378,1,-0.131238114,-0.00498008,0.021038389,0.010200615,-0.074444456,0.068962696,-0.264799793
SHBG,-0.015882892,0.08757171,0.148310496,0.127548878,0.042239994,0.068874394,0.15327351,0.022918261,0.093047151,0.008484861,0.048128546,-0.056198146,-0.03362456,0.075150185,0.026844866,0.10011319,0.157382176,0.046338558,0.082533371,0.045682073,-0.165463219,-0.294416647,0.149461424,0.188712279,0.072207861,0.048561556,0.097829025,0.082019564,0.322713562,-0.05025315,0.107911616,-0.131238114,1,0.177973128,-0.081987283,-0.178092602,0.129777545,0.188964728,0.191448807
sHER2/sEGFR2/sErbB2,0.211932243,0.170683262,0.243223662,0.534817217,0.450909222,0.477878077,0.354265672,0.468281564,0.517950029,0.259320809,0.07707572,0.022366859,0.109434775,0.072086662,0.178089633,0.402991259,0.257109485,0.155684597,0.201384127,0.258576845,0.135373697,-0.041483172,0.109751342,0.188306211,0.032618321,0.08404332,0.277652694,0.176445443,0.220793243,-0.056754195,0.291575348,-0.00498008,0.177973128,1,0.244099588,0.043700815,0.339740191,0.407075491,0.14815211
sPECAM-1,0.142255735,0.059241848,0.087305304,-0.054214145,0.072734671,0.042740325,0.13718548,0.051815398,-0.002491036,-0.021121506,0.05218495,-0.023932233,0.060201115,-0.074119376,0.062665129,0.10624531,0.101874497,-0.001722963,0.113553525,-0.07528345,0.214660718,0.106185797,0.067554059,0.014197964,-0.143285956,-0.036747305,0.107572769,0.003539685,0.070929743,0.046093675,0.144316207,0.021038389,-0.081987283,0.244099588,1,0.024443646,0.05811119,0.006433167,0.026594707
TGFa,0.156425798,0.092166042,-0.083963809,0.043491657,0.045259944,0.072122881,-0.026262937,0.091224735,-0.000247262,0.027927339,0.030747374,0.115902111,0.1345408,-0.107278094,0.058636573,0.045854295,0.081146027,-0.022814664,0.021560077,-0.060917132,0.058174146,0.093762038,-0.103602457,0.072265141,-0.104623466,-0.036487026,0.01496744,-0.033031036,-0.029747003,0.112235076,0.018303659,0.010200615,-0.178092602,0.043700815,0.024443646,1,0.022663377,-0.088154776,-0.064884575
Thrombospondin-2,0.105752656,0.214836082,0.186786001,0.366620054,0.212087186,0.314048596,0.153034932,0.268042113,0.279620254,0.209482174,0.122126306,0.030370562,-0.011850614,0.05141315,0.129844557,0.278498045,0.008480917,0.074873127,0.217046578,0.109596867,-0.169863396,-0.142058787,0.031381017,0.067455491,0.081525616,0.109964429,0.202731519,0.123072904,0.149723795,-0.011904561,0.079782303,-0.074444456,0.129777545,0.339740191,0.05811119,0.022663377,1,0.221578518,-0.075029884
TIMP-1,0.002518476,0.104438434,0.315950166,0.264354689,0.045454619,0.314105424,0.128886012,0.182580881,0.285136987,0.387342995,-0.074530298,-0.095572555,0.120888077,0.192882518,0.033463445,0.60321745,0.021394184,0.273592813,-0.048228608,0.176567994,-0.007712969,-0.00553824,0.132029743,0.3147776,0.292880526,0.317118489,0.041563214,0.09367373,0.413094869,-0.212630703,-0.024120465,0.068962696,0.188964728,0.407075491,0.006433167,-0.088154776,0.221578518,1,0.554354355
TIMP-2,0.089169966,0.176324262,0.260562458,-0.084779517,-0.065691692,-0.095409711,0.329317213,-0.162968362,-0.064264734,-0.116646616,-0.061708597,-0.451551442,0.131267741,-0.212432998,-0.262239448,0.276321107,0.101416635,-0.242648829,-0.091745455,-0.07086511,0.245998648,-0.043812925,0.370999,0.044378919,-0.203284862,-0.170792686,0.14196128,-0.182433909,0.295532778,-0.14356497,0.212390824,-0.264799793,0.191448807,0.14815211,0.026594707,-0.064884575,-0.075029884,0.554354355,1
